diseases,disease_ids,mapped_disease_ids,mismatched_diseases,actual_disease_names
"['respiratory arrest', 'desaturation', 'bradycardia', 'neuromuscular blockade']","['D012131', 'D001049', 'D001919', 'D020879']","['-1', '-1', 'D001919', 'D019148']","['respiratory arrest', 'desaturation']","[['respiratory insufficiency', 'respiratory insufficiency', 'respiratory failure', 'failure, respiratory', 'respiratory failures', 'respiratory depression', 'ventilatory depression', 'depressions, ventilatory', 'hypoxemic respiratory failure', 'failure, hypoxemic respiratory', 'hypoxemic respiratory failures', 'respiratory failure, hypoxemic', 'acute hypoxemic respiratory failure', 'hypoxemic acute respiratory failure', 'hypercapnic respiratory failure', 'failure, hypercapnic respiratory', 'hypercapnic respiratory failures', 'respiratory failure, hypercapnic', 'acute hypercapnic respiratory failure', 'hypercapnic acute respiratory failure'], ['apnea', 'apnea', 'apneas']]"
"['venous thromboembolism', 'venous thromboembolism', 'vte', 'vte', 'vte', 'vte', 'vte']","['D054556', 'D054556', 'D054556', 'D054556', 'D054556', 'D054556', 'D054556']","['D054556', 'D054556', '-1', '-1', '-1', '-1', '-1']","['vte', 'vte', 'vte', 'vte', 'vte']","[['venous thromboembolism', 'venous thromboembolism', 'thromboembolism, venous'], ['venous thromboembolism', 'venous thromboembolism', 'thromboembolism, venous'], ['venous thromboembolism', 'venous thromboembolism', 'thromboembolism, venous'], ['venous thromboembolism', 'venous thromboembolism', 'thromboembolism, venous'], ['venous thromboembolism', 'venous thromboembolism', 'thromboembolism, venous']]"
"['aggressive behavior', 'aggressive behavior', 'aggressive behavior', 'aggressiveness', 'aggressiveness', 'aggressive behavior']","['D010554', 'D010554', 'D010554', 'D010554', 'D010554', 'D010554']","['-1', '-1', '-1', '-1', '-1', '-1']","['aggressive behavior', 'aggressive behavior', 'aggressive behavior', 'aggressiveness', 'aggressiveness', 'aggressive behavior']","[['personality disorders', 'personality disorders', 'personality disorder', 'avoidant personality disorder', 'avoidant personality disorders', 'personality disorder, avoidant', 'personality disorders, avoidant', 'impulse-ridden personality', 'impulse ridden personality', 'personality, impulse-ridden', 'inadequate personality', 'personality, inadequate'], ['personality disorders', 'personality disorders', 'personality disorder', 'avoidant personality disorder', 'avoidant personality disorders', 'personality disorder, avoidant', 'personality disorders, avoidant', 'impulse-ridden personality', 'impulse ridden personality', 'personality, impulse-ridden', 'inadequate personality', 'personality, inadequate'], ['personality disorders', 'personality disorders', 'personality disorder', 'avoidant personality disorder', 'avoidant personality disorders', 'personality disorder, avoidant', 'personality disorders, avoidant', 'impulse-ridden personality', 'impulse ridden personality', 'personality, impulse-ridden', 'inadequate personality', 'personality, inadequate'], ['personality disorders', 'personality disorders', 'personality disorder', 'avoidant personality disorder', 'avoidant personality disorders', 'personality disorder, avoidant', 'personality disorders, avoidant', 'impulse-ridden personality', 'impulse ridden personality', 'personality, impulse-ridden', 'inadequate personality', 'personality, inadequate'], ['personality disorders', 'personality disorders', 'personality disorder', 'avoidant personality disorder', 'avoidant personality disorders', 'personality disorder, avoidant', 'personality disorders, avoidant', 'impulse-ridden personality', 'impulse ridden personality', 'personality, impulse-ridden', 'inadequate personality', 'personality, inadequate'], ['personality disorders', 'personality disorders', 'personality disorder', 'avoidant personality disorder', 'avoidant personality disorders', 'personality disorder, avoidant', 'personality disorders, avoidant', 'impulse-ridden personality', 'impulse ridden personality', 'personality, impulse-ridden', 'inadequate personality', 'personality, inadequate']]"
"['urinary incontinence', 'urinary incontinence', 'incontinence', 'incontinence', 'incontinence', 'incontinence']","['D014549', 'D014549', 'D014549', 'D014549', 'D014549', 'D014549']","['D014549', 'D014549', '-1', '-1', '-1', '-1']","['incontinence', 'incontinence', 'incontinence', 'incontinence']","[['urinary incontinence', 'urinary incontinence', 'incontinence, urinary'], ['urinary incontinence', 'urinary incontinence', 'incontinence, urinary'], ['urinary incontinence', 'urinary incontinence', 'incontinence, urinary'], ['urinary incontinence', 'urinary incontinence', 'incontinence, urinary']]"
"['hypotension', 'hypertension', 'spasticity', 'disorders of the central nervous system', 'spasticity', 'hypotension', 'hypertension', 'hypotension', 'spasticity', 'hypertension', 'spasticity']","['D007022', 'D006973', 'D009128', 'D002493', 'D009128', 'D007022', 'D006973', 'D007022', 'D009128', 'D006973', 'D009128']","['D007022', 'D006973', '-1', '-1', '-1', 'D007022', 'D006973', 'D007022', '-1', 'D006973', '-1']","['spasticity', 'disorders of the central nervous system', 'spasticity', 'spasticity', 'spasticity']","[['hypotension', 'hypotension', 'blood pressure, low', 'hypotension, vascular', 'low blood pressure', 'vascular hypotension'], ['hypertension', 'hypertension', 'blood pressure, high', 'blood pressures, high', 'high blood pressure', 'high blood pressures'], ['muscle spasticity', 'muscle spasticity', 'spasticity, muscle', 'clasp-knife spasticity', 'clasp knife spasticity', 'spasticity, clasp-knife', 'spastic'], ['central nervous system diseases', 'central nervous system diseases', 'central nervous system disease', 'cns disease', 'central nervous system disorder', 'cns diseases', 'central nervous system disorders'], ['muscle spasticity', 'muscle spasticity', 'spasticity, muscle', 'clasp-knife spasticity', 'clasp knife spasticity', 'spasticity, clasp-knife', 'spastic']]"
"['kidney disease', 'transplant glomerulopathy', 'tg', 'tg', 'glomerulonephritis', 'chronic allograft nephropathy', 'glomerulopathies', 'thrombotic microangiopathy', 'malignant hypertension', 'interstitial nephritis', 'acute tubular necrosis', 'tg', 'tg', 'malignant hypertension', 'thrombotic microangiopathy', 'lupus nephritis', 'henoch-schonlein nephritis', 'glomerulonephritis', 'acute renal failure', 'tg', 'renal failure', 'proteinuria', 'tg', 'tg', 'kidney diseases', 'tg', 'endothelial injury', 'immunologic injury']","['D007674', 'D007674', 'D007674', 'D007674', 'D005921', 'D051436', 'D007674', 'D057049', 'D006974', 'D009395', 'D007683', 'D007674', 'D007674', 'D006974', 'D057049', 'D008181', 'D011695', 'D005921', 'D058186', 'D007674', 'D051437', 'D011507', 'D007674', 'D007674', 'D007674', 'D007674', 'D014947', 'D007154']","['D007674', '-1', '-1', '-1', 'D005921', '-1', '-1', 'D057049', 'D006974', 'D009395', '-1', '-1', '-1', 'D006974', 'D057049', 'D008181', '-1', 'D005921', 'D058186', '-1', 'D051437', 'D011507', '-1', '-1', 'D007674', '-1', '-1', '-1']","['transplant glomerulopathy', 'tg', 'tg', 'chronic allograft nephropathy', 'glomerulopathies', 'acute tubular necrosis', 'tg', 'tg', 'henoch-schonlein nephritis', 'tg', 'tg', 'tg', 'tg', 'endothelial injury', 'immunologic injury']","[['kidney diseases', 'kidney diseases', 'disease, kidney', 'diseases, kidney', 'kidney disease'], ['kidney diseases', 'kidney diseases', 'disease, kidney', 'diseases, kidney', 'kidney disease'], ['kidney diseases', 'kidney diseases', 'disease, kidney', 'diseases, kidney', 'kidney disease'], ['kidney diseases', 'kidney diseases', 'disease, kidney', 'diseases, kidney', 'kidney disease'], ['glomerulonephritis', 'glomerulonephritis', 'glomerulonephritides', 'kidney scarring', 'scarring, kidney', 'bright disease'], ['renal insufficiency, chronic', 'renal insufficiency, chronic', 'chronic renal insufficiencies', 'renal insufficiencies, chronic', 'chronic kidney insufficiency', 'chronic kidney insufficiencies', 'kidney insufficiencies, chronic', 'chronic renal insufficiency', 'kidney insufficiency, chronic', 'chronic kidney diseases', 'chronic kidney disease', 'disease, chronic kidney', 'diseases, chronic kidney', 'kidney disease, chronic', 'kidney diseases, chronic', 'chronic renal diseases', 'chronic renal disease', 'disease, chronic renal', 'diseases, chronic renal', 'renal disease, chronic', 'renal diseases, chronic'], ['kidney diseases', 'kidney diseases', 'disease, kidney', 'diseases, kidney', 'kidney disease'], ['thrombotic microangiopathies', 'thrombotic microangiopathies', 'microangiopathies, thrombotic', 'microangiopathy, thrombotic', 'thrombotic microangiopathy'], ['hypertension, malignant', 'hypertension, malignant', 'malignant hypertension'], ['nephritis, interstitial', 'nephritis, interstitial', 'interstitial nephritis', 'interstitial nephritides', 'nephritides, interstitial', 'nephritis, tubulointerstitial', 'nephritides, tubulointerstitial', 'tubulointerstitial nephritides', 'tubulointerstitial nephritis'], ['kidney tubular necrosis, acute', 'kidney tubular necrosis, acute', 'acute kidney tubular necrosis', 'lower nephron nephrosis', 'lower nephron nephroses', 'nephron nephroses, lower', 'nephron nephrosis, lower', 'nephroses, lower nephron', 'nephrosis, lower nephron'], ['kidney diseases', 'kidney diseases', 'disease, kidney', 'diseases, kidney', 'kidney disease'], ['kidney diseases', 'kidney diseases', 'disease, kidney', 'diseases, kidney', 'kidney disease'], ['hypertension, malignant', 'hypertension, malignant', 'malignant hypertension'], ['thrombotic microangiopathies', 'thrombotic microangiopathies', 'microangiopathies, thrombotic', 'microangiopathy, thrombotic', 'thrombotic microangiopathy']]"
"['convulsions', 'toxicity', 'convulsive']","['D012640', 'D064420', 'D012640']","['D012640', '-1', '-1']","['toxicity', 'convulsive']","[['seizures', 'seizures', 'seizure', 'jacksonian seizure', 'seizure, jacksonian', 'single seizure', 'seizure, single', 'single seizures', 'atonic absence seizures', 'atonic absence seizure', 'absence seizure, atonic', 'absence seizures, atonic', 'seizure, atonic absence', 'seizures, focal', 'focal seizure', 'focal seizures', 'seizure, focal', 'partial seizures', 'partial seizure', 'seizure, partial', 'seizures, generalized', 'generalized seizure', 'generalized seizures', 'seizure, generalized', 'seizures, sensory', 'seizure, sensory', 'sensory seizure', 'sensory seizures', 'seizures, auditory', 'auditory seizure', 'auditory seizures', 'seizure, auditory', 'convulsive seizures', 'seizure, convulsive', 'seizures, convulsive', 'seizures, motor', 'motor seizure', 'motor seizures', 'seizure, motor', 'convulsive seizure', 'seizures, gustatory', 'gustatory seizure', 'gustatory seizures', 'seizure, gustatory', 'seizures, olfactory', 'olfactory seizure', 'olfactory seizures', 'seizure, olfactory', 'seizures, somatosensory', 'seizure, somatosensory', 'somatosensory seizure', 'somatosensory seizures', 'seizures, vertiginous', 'seizure, vertiginous', 'vertiginous seizure', 'vertiginous seizures', 'seizures, vestibular', 'seizure, vestibular', 'vestibular seizure', 'vestibular seizures', 'seizures, visual', 'seizure, visual', 'visual seizure', 'visual seizures', 'convulsion, non-epileptic', 'convulsion, non epileptic', 'convulsions, non-epileptic', 'non-epileptic convulsion', 'non-epileptic convulsions', 'nonepileptic seizures', 'non-epileptic seizures', 'non epileptic seizures', 'nonepileptic seizure', 'seizure, nonepileptic', 'seizures, nonepileptic', 'non-epileptic seizure', 'non epileptic seizure', 'seizure, non-epileptic', 'complex partial seizures', 'complex partial seizure', 'partial seizure, complex', 'partial seizures, complex', 'seizure, complex partial', 'epileptic seizures', 'seizures, epileptic', 'epileptic seizure', 'seizure, epileptic', 'generalized absence seizures', 'generalized absence seizure', 'absence seizure, generalized', 'absence seizures, generalized', 'seizure, generalized absence', 'tonic-clonic seizures', 'seizures, tonic-clonic', 'generalized tonic-clonic seizures', 'generalized tonic-clonic seizure', 'generalized tonic clonic seizures', 'seizure, generalized tonic-clonic', 'seizures, generalized tonic-clonic', 'tonic-clonic seizure, generalized', 'tonic-clonic seizures, generalized', 'tonic clonic seizure', 'clonic seizures, tonic', 'clonic seizure, tonic', 'seizure, tonic clonic', 'tonic clonic seizures', 'tonic-clonic seizure', 'seizure, tonic-clonic', 'myoclonic seizures', 'myoclonic seizure', 'seizure, myoclonic', 'clonic seizures', 'seizures, clonic', 'clonic seizure', 'seizure, clonic', 'tonic seizures', 'seizures, tonic', 'tonic seizure', 'seizure, tonic', 'atonic seizures', 'atonic seizure', 'seizure, atonic', 'convulsions', 'convulsion', 'absence seizures', 'petit mal convulsion', 'convulsion, petit mal', 'absence seizure', 'seizure, absence'], ['drug-related side effects and adverse reactions', 'drug-related side effects and adverse reactions', 'drug related side effects and adverse reactions', 'side effects of drugs', 'drug-related side effects and adverse reaction', 'drug related side effects and adverse reaction', 'adverse drug reaction', 'adverse drug reactions', 'drug reaction, adverse', 'drug reactions, adverse', 'reactions, adverse drug', 'adverse drug event', 'adverse drug events', 'drug event, adverse', 'drug events, adverse', 'drug side effects', 'drug side effect', 'effects, drug side', 'side effect, drug', 'side effects, drug', 'drug toxicity', 'toxicity, drug', 'drug toxicities', 'toxicities, drug']]"
"['torsades de pointes', 'tdp', 'ventricular tachycardia', 'tdp', 'tdp', 'tdp', 'tdp', 'tdp']","['D016171', 'D016171', 'D017180', 'D016171', 'D016171', 'D016171', 'D016171', 'D016171']","['D016171', '-1', 'D017180', '-1', '-1', '-1', '-1', '-1']","['tdp', 'tdp', 'tdp', 'tdp', 'tdp', 'tdp']","[['torsades de pointes', 'torsades de pointes', 'de pointes, torsades', 'pointes, torsades de', 'torsade de pointes', 'de pointes, torsade', 'pointes, torsade de'], ['torsades de pointes', 'torsades de pointes', 'de pointes, torsades', 'pointes, torsades de', 'torsade de pointes', 'de pointes, torsade', 'pointes, torsade de'], ['tachycardia, ventricular', 'tachycardia, ventricular', 'ventricular tachycardias', 'ventricular tachycardia', 'paroxysmal supraventricular tachycardia', 'paroxysmal supraventricular tachycardias', 'supraventricular tachycardia, paroxysmal', 'tachycardia, paroxysmal supraventricular', 'idiopathic ventricular tachycardia', 'idiopathic ventricular tachycardias', 'tachycardia, idiopathic ventricular', 'ventricular tachycardia, idiopathic', 'nonsustained ventricular tachycardia', 'nonsustained ventricular tachycardias', 'tachycardia, nonsustained ventricular', 'ventricular tachycardia, nonsustained', 'ventricular tachyarrhythmias', 'tachyarrhythmia, ventricular', 'ventricular tachyarrhythmia'], ['torsades de pointes', 'torsades de pointes', 'de pointes, torsades', 'pointes, torsades de', 'torsade de pointes', 'de pointes, torsade', 'pointes, torsade de'], ['torsades de pointes', 'torsades de pointes', 'de pointes, torsades', 'pointes, torsades de', 'torsade de pointes', 'de pointes, torsade', 'pointes, torsade de'], ['torsades de pointes', 'torsades de pointes', 'de pointes, torsades', 'pointes, torsades de', 'torsade de pointes', 'de pointes, torsade', 'pointes, torsade de']]"
"['myeloencephalopathy', 'acute lymphoblastic leucemia', 'lymphoblastic lymphoma', 'opistothonus', 'sensory and motor dysfunction', 'paralysis', 'degeneration of myelin and axons', 'pseudocystic transformation']","['D001927', 'D054198', 'D054198', 'D020258|D020258|D020258', 'D010243', 'D003711|D009410', '-1']","['-1', '-1', 'D054198', '-1', '-1', 'D010243', '-1', '-1']","['myeloencephalopathy', 'acute lymphoblastic leucemia', 'opistothonus', 'sensory and motor dysfunction', 'degeneration of myelin and axons', 'pseudocystic transformation']","[['brain diseases', 'brain diseases', 'brain disease', 'intracranial central nervous system disorders', 'brain disorders', 'brain disorder', 'central nervous system disorders, intracranial', 'central nervous system intracranial disorders', 'cns disorders, intracranial', 'cns disorder, intracranial', 'intracranial cns disorder', 'encephalon diseases', 'encephalon disease', 'intracranial cns disorders', 'encephalopathy', 'encephalopathies'], ['precursor cell lymphoblastic leukemia-lymphoma', 'precursor cell lymphoblastic leukemia-lymphoma', 'precursor cell lymphoblastic leukemia lymphoma', 'lymphoblastic leukemia', 'lymphocytic leukemia, acute', 'acute lymphocytic leukemia', 'leukemia, acute lymphocytic', 'leukemia, lymphocytic, acute', 'leukemia, lymphoblastic, acute', 'lymphoblastic leukemia, acute', 'lymphoblastic lymphoma', 'lymphoma, lymphoblastic', 'acute lymphoid leukemia', 'leukemia, acute lymphoid', 'lymphoid leukemia, acute', 'leukemia, lymphoid, acute', 'leukemia, lymphoblastic', 'leukemia, acute lymphoblastic', 'acute lymphoblastic leukemia', 'leukemia, lymphocytic, acute, l1', 'all, childhood', 'childhood all', 'lymphoblastic leukemia, acute, childhood', 'leukemia, lymphoblastic, acute, l1', 'lymphoblastic leukemia, acute, l1', 'lymphocytic leukemia, l1', 'l1 lymphocytic leukemia', 'leukemia, l1 lymphocytic', 'leukemia, lymphocytic, acute, l2', 'lymphoblastic leukemia, acute, adult', 'leukemia, lymphoblastic, acute, l2', 'lymphoblastic leukemia, acute, l2', 'lymphocytic leukemia, l2', 'l2 lymphocytic leukemia', 'leukemia, l2 lymphocytic', 'leukemia, lymphoblastic, acute, philadelphia-positive'], ['precursor cell lymphoblastic leukemia-lymphoma', 'precursor cell lymphoblastic leukemia-lymphoma', 'precursor cell lymphoblastic leukemia lymphoma', 'lymphoblastic leukemia', 'lymphocytic leukemia, acute', 'acute lymphocytic leukemia', 'leukemia, acute lymphocytic', 'leukemia, lymphocytic, acute', 'leukemia, lymphoblastic, acute', 'lymphoblastic leukemia, acute', 'lymphoblastic lymphoma', 'lymphoma, lymphoblastic', 'acute lymphoid leukemia', 'leukemia, acute lymphoid', 'lymphoid leukemia, acute', 'leukemia, lymphoid, acute', 'leukemia, lymphoblastic', 'leukemia, acute lymphoblastic', 'acute lymphoblastic leukemia', 'leukemia, lymphocytic, acute, l1', 'all, childhood', 'childhood all', 'lymphoblastic leukemia, acute, childhood', 'leukemia, lymphoblastic, acute, l1', 'lymphoblastic leukemia, acute, l1', 'lymphocytic leukemia, l1', 'l1 lymphocytic leukemia', 'leukemia, l1 lymphocytic', 'leukemia, lymphocytic, acute, l2', 'lymphoblastic leukemia, acute, adult', 'leukemia, lymphoblastic, acute, l2', 'lymphoblastic leukemia, acute, l2', 'lymphocytic leukemia, l2', 'l2 lymphocytic leukemia', 'leukemia, l2 lymphocytic', 'leukemia, lymphoblastic, acute, philadelphia-positive'], ['-1'], ['paralysis', 'paralysis', 'paralyses', 'palsy', 'palsies', 'plegia', 'plegias', 'todd paralysis', 'paralysis, todd', ""todd's paralysis"", ""paralysis, todd's"", 'todds paralysis'], ['-1']]"
"['akathisia', 'akathisia', 'headache', 'nausea', 'vomiting', 'akathisia', 'agitation', 'akathisia', 'akathisia', 'headache', 'nausea', 'headache', 'nausea', 'akathisia', 'headache', 'nausea', 'akathisia', 'headache', 'nausea']","['D017109', 'D017109', 'D006261', 'D009325', 'D014839', 'D017109', 'D011595', 'D017109', 'D017109', 'D006261', 'D009325', 'D006261', 'D009325', 'D017109', 'D006261', 'D009325', 'D017109', 'D006261', 'D009325']","['D011595', 'D011595', 'D006261', 'D009325', 'D014839', 'D011595', '-1', 'D011595', 'D011595', 'D006261', 'D009325', 'D006261', 'D009325', 'D011595', 'D006261', 'D009325', 'D011595', 'D006261', 'D009325']",['agitation'],"[['akathisia, drug-induced', 'akathisia, drug-induced', 'akathisia, drug induced', 'acathisia, drug-induced', 'acathisia, drug induced', 'drug-induced acathisia', 'drug-induced akathisia', 'drug induced akathisia', 'akathisia, tardive', 'tardive akathisia', 'pseudoakathisia']]"
"['hypertension', 'renal injury', 'increase in blood pressure', 'renal injury', 'reduction in glomerular number', 'elevated blood pressures', 'reduction in glomerular number', 'glomerulosclerosis', 'reduction in glomerular number', 'glomerulosclerosis', 'hypertension', 'hypertension', 'reduction in glomerular number', 'reduction in glomerular number', 'hypertension']","['D006973', 'D007674', 'D006973', 'D007674', 'D007674', 'D006973', 'D007674', 'D005921', 'D007674', 'D005921', 'D006973', 'D006973', 'D007674', 'D007674', 'D006973']","['D006973', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', 'D006973', 'D006973', '-1', '-1', 'D006973']","['renal injury', 'increase in blood pressure', 'renal injury', 'reduction in glomerular number', 'elevated blood pressures', 'reduction in glomerular number', 'glomerulosclerosis', 'reduction in glomerular number', 'glomerulosclerosis', 'reduction in glomerular number', 'reduction in glomerular number']","[['hypertension', 'hypertension', 'blood pressure, high', 'blood pressures, high', 'high blood pressure', 'high blood pressures'], ['kidney diseases', 'kidney diseases', 'disease, kidney', 'diseases, kidney', 'kidney disease'], ['hypertension', 'hypertension', 'blood pressure, high', 'blood pressures, high', 'high blood pressure', 'high blood pressures'], ['kidney diseases', 'kidney diseases', 'disease, kidney', 'diseases, kidney', 'kidney disease'], ['kidney diseases', 'kidney diseases', 'disease, kidney', 'diseases, kidney', 'kidney disease'], ['hypertension', 'hypertension', 'blood pressure, high', 'blood pressures, high', 'high blood pressure', 'high blood pressures'], ['kidney diseases', 'kidney diseases', 'disease, kidney', 'diseases, kidney', 'kidney disease'], ['glomerulonephritis', 'glomerulonephritis', 'glomerulonephritides', 'kidney scarring', 'scarring, kidney', 'bright disease'], ['kidney diseases', 'kidney diseases', 'disease, kidney', 'diseases, kidney', 'kidney disease'], ['glomerulonephritis', 'glomerulonephritis', 'glomerulonephritides', 'kidney scarring', 'scarring, kidney', 'bright disease'], ['hypertension', 'hypertension', 'blood pressure, high', 'blood pressures, high', 'high blood pressure', 'high blood pressures']]"
"['venous thromboembolism', 'acne', 'hirsutism', 'polycystic ovary syndrome', 'pcos', 'venous thromboembolism', 'vte', 'acne', 'hirsutism', 'pcos', 'vte', 'vte', 'acne', 'hirsutism', 'pcos']","['D054556', 'D000152', 'D006628', 'D011085', 'D011085', 'D054556', 'D054556', 'D000152', 'D006628', 'D011085', 'D054556', 'D054556', 'D000152', 'D006628', 'D011085']","['D054556', 'D000152', 'D006628', 'D011085', '-1', 'D054556', '-1', 'D000152', 'D006628', '-1', '-1', '-1', 'D000152', 'D006628', '-1']","['pcos', 'vte', 'pcos', 'vte', 'vte', 'pcos']","[['venous thromboembolism', 'venous thromboembolism', 'thromboembolism, venous'], ['acne vulgaris', 'acne vulgaris', 'acne'], ['hirsutism', 'hirsutism'], ['polycystic ovary syndrome', 'polycystic ovary syndrome', 'ovary syndrome, polycystic', 'syndrome, polycystic ovary', 'polycystic ovarian syndrome', 'ovarian syndrome, polycystic', 'polycystic ovary syndrome 1', 'sclerocystic ovarian degeneration', 'ovarian degeneration, sclerocystic', 'sclerocystic ovary syndrome', 'stein-leventhal syndrome', 'stein leventhal syndrome', 'syndrome, stein-leventhal', 'sclerocystic ovaries', 'ovary, sclerocystic', 'sclerocystic ovary'], ['polycystic ovary syndrome', 'polycystic ovary syndrome', 'ovary syndrome, polycystic', 'syndrome, polycystic ovary', 'polycystic ovarian syndrome', 'ovarian syndrome, polycystic', 'polycystic ovary syndrome 1', 'sclerocystic ovarian degeneration', 'ovarian degeneration, sclerocystic', 'sclerocystic ovary syndrome', 'stein-leventhal syndrome', 'stein leventhal syndrome', 'syndrome, stein-leventhal', 'sclerocystic ovaries', 'ovary, sclerocystic', 'sclerocystic ovary'], ['venous thromboembolism', 'venous thromboembolism', 'thromboembolism, venous']]"
"['pseudoacromegaly', 'acromegaly', 'endocrine disorder', 'hypertrophy', 'cutis verticis gyrata', 'pseudoacromegaly', 'pseudoacromegaly', 'pseudoacromegaly']","['D004194', 'D000172', 'D004700', 'D006984', 'C535610', 'D004194', 'D004194', 'D004194']","['-1', 'D000172', '-1', 'D006984', '-1', '-1', '-1', '-1']","['pseudoacromegaly', 'endocrine disorder', 'cutis verticis gyrata', 'pseudoacromegaly', 'pseudoacromegaly', 'pseudoacromegaly']","[['disease', 'disease', 'diseases'], ['acromegaly', 'acromegaly', 'inappropriate growth hormone secretion syndrome (acromegaly)', 'somatotropin hypersecretion syndrome (acromegaly)', 'hypersecretion syndrome, somatotropin (acromegaly)', 'hypersecretion syndromes, somatotropin (acromegaly)', 'somatotropin hypersecretion syndromes (acromegaly)', 'syndrome, somatotropin hypersecretion (acromegaly)', 'syndromes, somatotropin hypersecretion (acromegaly)', 'inappropriate gh secretion syndrome (acromegaly)'], ['endocrine system diseases', 'endocrine system diseases', 'disease, endocrine system', 'diseases, endocrine system', 'endocrine system disease', 'system disease, endocrine', 'system diseases, endocrine', 'diseases of endocrine system', 'endocrine diseases', 'disease, endocrine', 'diseases, endocrine', 'endocrine disease'], ['hypertrophy', 'hypertrophy', 'hypertrophies'], ['-1'], ['disease', 'disease', 'diseases']]"
"['anemia', 'prostate cancer', 'anemia', 'prostate cancer', 'prostatic adenocarcinoma', 'anemia', 'anemia', 'anemia', 'anemia', 'anemia', 'anemia', 'anemia', 'prostate cancer', 'anemia', 'anemia', 'prostate cancer']","['D000740', 'D011471', 'D000740', 'D011471', 'D000230', 'D000740', 'D000740', 'D000740', 'D000740', 'D000740', 'D000740', 'D000740', 'D011471', 'D000740', 'D000740', 'D011471']","['D000740', 'D011471', 'D000740', 'D011471', '-1', 'D000740', 'D000740', 'D000740', 'D000740', 'D000740', 'D000740', 'D000740', 'D011471', 'D000740', 'D000740', 'D011471']",['prostatic adenocarcinoma'],"[['anemia', 'anemia', 'anemias']]"
"['dilated cardiomyopathy', 'dilated cardiomyopathy', 'heart failure', 'coccidioidomycosis', 'heart failure', 'toxicity']","['D002311', 'D002311', 'D006333', 'D003047', 'D006333', 'D064420']","['D002311', 'D002311', 'D006333', 'D003047', 'D006333', '-1']",['toxicity'],"[['cardiomyopathy, dilated', 'cardiomyopathy, dilated', 'cardiomyopathies, dilated', 'dilated cardiomyopathies', 'dilated cardiomyopathy', 'cardiomyopathy, familial idiopathic', 'cardiomyopathies, familial idiopathic', 'familial idiopathic cardiomyopathies', 'familial idiopathic cardiomyopathy', 'idiopathic cardiomyopathies, familial', 'idiopathic cardiomyopathy, familial', 'cardiomyopathy, dilated, with conduction deffect1', 'congestive cardiomyopathy', 'cardiomyopathies, congestive', 'congestive cardiomyopathies', 'cardiomyopathy, congestive', 'cardiomyopathy, dilated, cmd1a', 'cardiomyopathy, dilated, lmna', 'cardiomyopathy, dilated, autosomal recessive', 'cardiomyopathy, dilated, 1a', 'cardiomyopathy, dilated, with conduction defect 1', 'cardiomyopathy, idiopathic dilated', 'cardiomyopathies, idiopathic dilated', 'dilated cardiomyopathies, idiopathic', 'dilated cardiomyopathy, idiopathic', 'idiopathic dilated cardiomyopathies', 'idiopathic dilated cardiomyopathy']]"
"['nocturnal leg cramps', 'neurological complications', 'confusion', 'seizures', 'coma']","['D020922', 'D002493', 'D003221', 'D012640', 'D003128']","['D020922', '-1', 'D003221', 'D012640', 'D003128']",['neurological complications'],"[['sleep-wake transition disorders', 'sleep-wake transition disorders', 'sleep-wake transition disorder', 'sleep wake transition disorders', 'transition disorder, sleep-wake', 'sleep-wake transitional disorders', 'sleep-wake transitional disorder', 'sleep wake transitional disorders', 'transitional disorder, sleep-wake', 'transition disorders, sleep-wake', 'transition disorders, sleep wake', 'transitional disorders, sleep-wake', 'transitional disorders, sleep wake', 'nocturnal leg cramps', 'cramp, nocturnal leg', 'cramps, nocturnal leg', 'leg cramp, nocturnal', 'leg cramps, nocturnal', 'nocturnal leg cramp', 'sleep starts', 'starts, sleep', 'sleep talking', 'talking, sleep', 'somnolescent starts', 'starts, somnolescent', 'movement disorders, rhythmic nocturnal', 'rhythmic movement disorders, nocturnal', 'nocturnal sleep head banging', 'jactatio capitis nocturna', 'nocturna, jactatio capitis']]"
