chemicals,chemical_ids,mapped_chemical_ids,mismatched_chemicals,actual_chemical_names
"['mitoxantrone', '5-fu', 'leucovorin', 'mfl', 'mitoxantrone', '5-fluorouracil', '5-fu', 'leucovorin', 'mfl regimen', 'mitoxantrone', '5-fu', 'leucovorin', 'anthracycline', 'mfl regimen', 'mitoxantrone', 'mfl regimen']","['D008942', 'D005472', 'D002955', 'C085788', 'D008942', 'D005472', 'D005472', 'D002955', 'C085788', 'D008942', 'D005472', 'D002955', 'D018943', 'C085788', 'D008942', 'C085788']","['D008942', 'D005472', 'D002955', '-1', 'D008942', 'D005472', 'D005472', 'D002955', '-1', 'D008942', 'D005472', 'D002955', 'D018943', '-1', 'D008942', '-1']","['mfl', 'mfl regimen', 'mfl regimen', 'mfl regimen']","[['mitoxantrone', 'mitoxantrone', 'dhaq', 'mitozantrone', 'novantrone', 'novantron', 'ralenova', 'nsc-299195', 'nsc299195', 'nsc 299195', 'mitoxantrone hydrochloride', 'hydrochloride, mitoxantrone', 'mitoxantrone acetate', 'acetate, mitoxantrone', 'cl-232325', 'cl232325', 'cl 232325', 'nsc-279836', 'nsc279836', 'nsc 279836', 'nsc-301739d', 'nsc301739d', 'nsc 301739d', 'nsc-287836', 'nsc287836', 'nsc 287836', 'nsc-301739', 'nsc301739', 'nsc 301739', 'mitroxone', 'onkotrone', 'pralifan'], ['fluorouracil', 'fluorouracil', '5-fluorouracil', '5 fluorouracil', 'fluoruracil', '5-fu', '5fu', 'efudix', 'efudex', 'fluoro-uracile icn', 'fluoro uracile icn', 'adrucil', 'fluoroplex', 'flurodex', 'fluorouracil monosodium salt', 'fluorouracil potassium salt', 'fluorouracil mononitrate', 'fluorouracil monopotassium salt', 'carac', '5-fluorouracil-biosyn', '5 fluorouracil biosyn', '5-hu hexal', '5 hu hexal', '5-fu lederle', '5 fu lederle', '5-fu medac', '5 fu medac', 'fluorouracil-gry', 'fluorouracil gry', 'fluorouracilo ferrer far', 'fluorouracile dakota', 'dakota, fluorouracile', 'haemato-fu', 'haemato fu', 'neofluor', 'onkofluor', 'ribofluor', 'fluracedyl'], ['leucovorin', 'leucovorin', 'folinic acid', 'acid, folinic', 'folinic acid-sf', 'folinic acid sf', 'leukovorum', 'leukovorin', 'citrovorum factor', 'factor, citrovorum', 'calcium folinate', 'folinate, calcium', 'calcium leucovorin', 'leucovorin, calcium', 'n(5)-formyltetrahydrofolate', '5-formyltetrahydrofolate', '5 formyltetrahydrofolate', '5-formyltetrahydropteroylglutamate', '5 formyltetrahydropteroylglutamate', 'leucovorin, calcium (1:1) salt', 'leucovorin, (dl)-isomer', 'leucovorin, monosodium salt', 'monosodium salt leucovorin', 'leucovorin, (d)-isomer', 'leucovorin, calcium (1:1) salt, pentahydrate', 'leucovorin, calcium (1:1) salt, (dl)-isomer', 'leucovorin, (r)-isomer', 'wellcovorin'], ['Unknown']]"
"['vasopressin', 'lithium', 'arginine vasopressin', 'avp', 'lithium', 'li', 'licl', 'li', 'sodium', 'li', 'avp', 'avp', 'li', 'avp', 'avp', 'li']","['D014667', 'D008094', 'D001127', 'D001127', 'D008094', 'D008094', 'D018021', 'D008094', 'D012964', 'D008094', 'D001127', 'D001127', 'D008094', 'D001127', 'D001127', 'D008094']","['D014667', 'D008094', 'D001127', '-1', 'D008094', '-1', '-1', '-1', 'D012964', '-1', '-1', '-1', '-1', '-1', '-1', '-1']","['avp', 'li', 'licl', 'li', 'li', 'avp', 'avp', 'li', 'avp', 'avp', 'li']","[['vasopressins', 'vasopressins', 'beta-hypophamine', 'beta hypophamine', 'antidiuretic hormones', 'antidiuretic hormone', 'hormone, antidiuretic', 'pitressin', 'vasopressin (usp)', 'vasopressin'], ['lithium', 'lithium', 'lithium-7', 'lithium 7'], ['arginine vasopressin', 'arginine vasopressin', 'vasopressin, arginine', 'argipressin', 'arg-vasopressin', 'arg vasopressin', 'argipressin tannate'], ['arginine vasopressin', 'arginine vasopressin', 'vasopressin, arginine', 'argipressin', 'arg-vasopressin', 'arg vasopressin', 'argipressin tannate'], ['lithium', 'lithium', 'lithium-7', 'lithium 7'], ['lithium', 'lithium', 'lithium-7', 'lithium 7'], ['lithium chloride', 'lithium chloride', 'chloride, lithium'], ['lithium', 'lithium', 'lithium-7', 'lithium 7'], ['sodium', 'sodium', 'sodium-23', 'sodium 23', 'sodium ion level', 'ion level, sodium', 'level, sodium ion'], ['lithium', 'lithium', 'lithium-7', 'lithium 7'], ['arginine vasopressin', 'arginine vasopressin', 'vasopressin, arginine', 'argipressin', 'arg-vasopressin', 'arg vasopressin', 'argipressin tannate']]"
"['acetylcholine', 'pg-9', 'pg-9', '3alpha-tropyl 2-(p-bromophenyl)propionate', 'acetylcholine', 'pg-9', 'scopolamine', 's-(-)-et-126', 'pg-9', 'pg-9', 'pg-9', 'pg-9', 'pg-9', 'pg-9', 'pg-9']","['D000109', 'C087567', 'C087567', 'C087567', 'D000109', 'C087567', 'D012601', 'C098725', 'C087567', 'C087567', 'C087567', 'C087567', 'C087567', 'C087567', 'C087567']","['D000109', '-1', '-1', '-1', 'D000109', '-1', 'D012601', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1']","['pg-9', 'pg-9', '3alpha-tropyl 2-(p-bromophenyl)propionate', 'pg-9', 's-(-)-et-126', 'pg-9', 'pg-9', 'pg-9', 'pg-9', 'pg-9', 'pg-9', 'pg-9']","[['acetylcholine', 'acetylcholine', '2-(acetyloxy)-n,n,n-trimethylethanaminium', 'miochol', 'acetylcholine bromide', 'bromide, acetylcholine', 'bromoacetylcholine', 'acetylcholine chloride', 'chloroacetylcholine', 'acetylcholine iodide', 'iodide, acetylcholine', 'acetylcholine sulfate (1:1)', 'acetylcholine hydroxide', 'hydroxide, acetylcholine', 'acetylcholine fluoride', 'fluoride, acetylcholine', 'acetylcholine picrate (1:1)', 'acetylcholine picrate', 'acetylcholine l-tartrate', 'acetylcholine l tartrate', 'l-tartrate, acetylcholine', 'acetylcholine perchlorate', 'perchlorate, acetylcholine', 'acetilcolina cusi', 'cusi, acetilcolina'], ['Unknown'], ['Unknown'], ['Unknown'], ['acetylcholine', 'acetylcholine', '2-(acetyloxy)-n,n,n-trimethylethanaminium', 'miochol', 'acetylcholine bromide', 'bromide, acetylcholine', 'bromoacetylcholine', 'acetylcholine chloride', 'chloroacetylcholine', 'acetylcholine iodide', 'iodide, acetylcholine', 'acetylcholine sulfate (1:1)', 'acetylcholine hydroxide', 'hydroxide, acetylcholine', 'acetylcholine fluoride', 'fluoride, acetylcholine', 'acetylcholine picrate (1:1)', 'acetylcholine picrate', 'acetylcholine l-tartrate', 'acetylcholine l tartrate', 'l-tartrate, acetylcholine', 'acetylcholine perchlorate', 'perchlorate, acetylcholine', 'acetilcolina cusi', 'cusi, acetilcolina'], ['Unknown'], ['scopolamine', 'scopolamine', 'hyoscine', 'transderm scop', 'transderm-v', 'transderm v', 'scopoderm tts', 'scopace', 'isopto hyoscine', 'kwells', 'scopolamine hydrobromide', 'scopolamine cooper', 'travacalm ho', 'vorigeno', 'boro-scopol', 'boro scopol', 'scoburen'], ['Unknown'], ['Unknown'], ['Unknown'], ['Unknown'], ['Unknown']]"
"['ace inhibitors', 'angiotensin-converting enzyme (ace) inhibitor']","['D000806', 'D000806']","['D000806', '-1']",['angiotensin-converting enzyme (ace) inhibitor'],"[['angiotensin-converting enzyme inhibitors', 'angiotensin-converting enzyme inhibitors', 'angiotensin converting enzyme inhibitors', 'enzyme inhibitors, angiotensin-converting', 'inhibitors, angiotensin-converting enzyme', 'inhibitors, angiotensin converting enzyme', 'inhibitors, kininase ii', 'kininase ii antagonists', 'kininase ii inhibitors', 'angiotensin-converting enzyme antagonists', 'angiotensin converting enzyme antagonists', 'enzyme antagonists, angiotensin-converting', 'antagonists, angiotensin-converting enzyme', 'antagonists, angiotensin converting enzyme', 'antagonists, kininase ii', 'inhibitors, ace', 'ace inhibitors', 'angiotensin i-converting enzyme inhibitors', 'angiotensin i converting enzyme inhibitors', 'angiotensin converting enzyme inhibitor', 'ace inhibitor', 'inhibitor, ace', 'angiotensin i-converting enzyme inhibitor', 'angiotensin i converting enzyme inhibitor', 'angiotensin-converting enzyme inhibitor', 'enzyme inhibitor, angiotensin-converting', 'inhibitor, angiotensin-converting enzyme', 'kininase ii inhibitor', 'ii inhibitor, kininase', 'inhibitor, kininase ii']]"
"['oral contraceptives', 'oral contraceptives', 'oc', 'oc', 'oc', 'oc']","['D003276', 'D003276', 'D003276', 'D003276', 'D003276', 'D003276']","['D003276', 'D003276', '-1', '-1', '-1', '-1']","['oc', 'oc', 'oc', 'oc']","[['contraceptives, oral', 'contraceptives, oral', 'oral contraceptive', 'contraceptive, oral', 'oral contraceptives', 'oral contraceptives, low-dose', 'contraceptives, low-dose oral', 'low-dose oral contraceptives', 'oral contraceptives, low dose', 'low-dose oral contraceptive', 'contraceptive, low-dose oral', 'low dose oral contraceptive', 'oral contraceptive, low-dose', 'oral contraceptives, phasic', 'contraceptives, phasic oral', 'phasic oral contraceptives'], ['contraceptives, oral', 'contraceptives, oral', 'oral contraceptive', 'contraceptive, oral', 'oral contraceptives', 'oral contraceptives, low-dose', 'contraceptives, low-dose oral', 'low-dose oral contraceptives', 'oral contraceptives, low dose', 'low-dose oral contraceptive', 'contraceptive, low-dose oral', 'low dose oral contraceptive', 'oral contraceptive, low-dose', 'oral contraceptives, phasic', 'contraceptives, phasic oral', 'phasic oral contraceptives'], ['contraceptives, oral', 'contraceptives, oral', 'oral contraceptive', 'contraceptive, oral', 'oral contraceptives', 'oral contraceptives, low-dose', 'contraceptives, low-dose oral', 'low-dose oral contraceptives', 'oral contraceptives, low dose', 'low-dose oral contraceptive', 'contraceptive, low-dose oral', 'low dose oral contraceptive', 'oral contraceptive, low-dose', 'oral contraceptives, phasic', 'contraceptives, phasic oral', 'phasic oral contraceptives'], ['contraceptives, oral', 'contraceptives, oral', 'oral contraceptive', 'contraceptive, oral', 'oral contraceptives', 'oral contraceptives, low-dose', 'contraceptives, low-dose oral', 'low-dose oral contraceptives', 'oral contraceptives, low dose', 'low-dose oral contraceptive', 'contraceptive, low-dose oral', 'low dose oral contraceptive', 'oral contraceptive, low-dose', 'oral contraceptives, phasic', 'contraceptives, phasic oral', 'phasic oral contraceptives']]"
"['serotonergic antidepressants', 'serotonergic antidepressants', 'venlafaxine', 'serotonin', 'paroxetine', 'sertraline', 'venlafaxine', 'lithium carbonate', 'serotonergic antidepressants']","['D018490', 'D018490', 'C047426', 'D012701', 'D017374', 'D020280', 'C047426', 'D016651', 'D018490']","['-1', '-1', 'D000069470', 'D012701', 'D017374', 'D020280', 'D000069470', 'D016651', '-1']","['serotonergic antidepressants', 'serotonergic antidepressants', 'serotonergic antidepressants']","[['serotonin agents', 'serotonin agents', 'agents, serotonin', 'serotonergic agents', 'agents, serotonergic', 'serotonergic drugs', 'drugs, serotonergic', 'serotonin drugs', 'drugs, serotonin', 'serotonin effect', 'effect, serotonin', 'serotonin effects', 'effects, serotonin', 'serotoninergic effect', 'effect, serotoninergic', 'serotoninergic effects', 'effects, serotoninergic'], ['serotonin agents', 'serotonin agents', 'agents, serotonin', 'serotonergic agents', 'agents, serotonergic', 'serotonergic drugs', 'drugs, serotonergic', 'serotonin drugs', 'drugs, serotonin', 'serotonin effect', 'effect, serotonin', 'serotonin effects', 'effects, serotonin', 'serotoninergic effect', 'effect, serotoninergic', 'serotoninergic effects', 'effects, serotoninergic'], ['Unknown']]"
"['tizanidine', 'angiotensin', 'angiotensin', 'lisinopril', 'angiotensin', 'tizanidine', 'tizanidine']","['C023754', 'D000809', 'D000809', 'D017706', 'D000809', 'C023754', 'C023754']","['-1', 'D000809', 'D000809', 'D017706', 'D000809', '-1', '-1']","['tizanidine', 'tizanidine', 'tizanidine']","[['Unknown'], ['angiotensins', 'angiotensins', 'angiotensin'], ['angiotensins', 'angiotensins', 'angiotensin']]"
"['bd1008', 'oligodeoxynucleotide', 'cocaine', 'cocaine', 'bd1018', '3s-1-2-(3,4-dichlorophenyl)ethyl-1,4-diazabicyclo4.3.0nonane', 'bd1063', '1-2-(3,4-dichlorophenyl)ethyl-4-methylpiperazine', 'lr132', 'dopamine', 'gaba', 'nmda', 'bd1018', 'bd1063', 'lr132', 'cocaine', 'lr132', 'cocaine', 'di-o-tolylguanidine', 'dtg', 'bd1031', '3r-1-2-(3,4-dichlorophenyl)ethyl-1,4-diazabicyclo4.3.0nonane', 'cocaine', 'bd1018', 'bd1063', 'lr132', 'cocaine', 'cocaine', 'oligodeoxynucleotide', 'cocaine', 'cocaine']","['C085527', 'D009838', 'D003042', 'D003042', '-1', '-1', 'C093337', 'C093337', '-1', 'D004298', 'D005680', 'D016202', '-1', 'C093337', '-1', 'D003042', '-1', 'D003042', 'C050232', 'C050232', '-1', '-1', 'D003042', '-1', 'C093337', '-1', 'D003042', 'D003042', 'D009838', 'D003042', 'D003042']","['-1', 'D009838', 'D003042', 'D003042', '-1', '-1', '-1', '-1', '-1', 'D004298', 'D005680', 'D016202', '-1', '-1', '-1', 'D003042', '-1', 'D003042', '-1', '-1', '-1', '-1', 'D003042', '-1', '-1', '-1', 'D003042', 'D003042', 'D009838', 'D003042', 'D003042']","['bd1008', 'bd1018', '3s-1-2-(3,4-dichlorophenyl)ethyl-1,4-diazabicyclo4.3.0nonane', 'bd1063', '1-2-(3,4-dichlorophenyl)ethyl-4-methylpiperazine', 'lr132', 'bd1018', 'bd1063', 'lr132', 'lr132', 'di-o-tolylguanidine', 'dtg', 'bd1031', '3r-1-2-(3,4-dichlorophenyl)ethyl-1,4-diazabicyclo4.3.0nonane', 'bd1018', 'bd1063', 'lr132']","[['Unknown'], ['oligodeoxyribonucleotides', 'oligodeoxyribonucleotides', 'oligodeoxynucleotides', 'oligodeoxyribonucleotide', 'oligodeoxynucleotide'], ['cocaine', 'cocaine', 'cocaine hydrochloride', 'hydrochloride, cocaine', 'cocaine hcl', 'hcl, cocaine'], ['cocaine', 'cocaine', 'cocaine hydrochloride', 'hydrochloride, cocaine', 'cocaine hcl', 'hcl, cocaine'], ['Unknown'], ['Unknown'], ['Unknown'], ['Unknown'], ['Unknown'], ['dopamine', 'dopamine', '3,4-dihydroxyphenethylamine', '3,4 dihydroxyphenethylamine', 'hydroxytyramine', '4-(2-aminoethyl)-1,2-benzenediol', 'dopamine hydrochloride', 'hydrochloride, dopamine', 'intropin'], ['gamma-aminobutyric acid', 'gamma-aminobutyric acid', 'gamma aminobutyric acid', '4-aminobutanoic acid', '4 aminobutanoic acid', '4-aminobutyric acid', '4 aminobutyric acid', 'aminalon', 'aminalone', 'gaba', 'gamma-aminobutyric acid, monolithium salt', 'gamma aminobutyric acid, monolithium salt', 'lithium gaba', 'gaba, lithium', 'gamma-aminobutyric acid, hydrochloride', 'acid, hydrochloride gamma-aminobutyric', 'gamma aminobutyric acid, hydrochloride', 'hydrochloride gamma-aminobutyric acid', 'gamma-aminobutyric acid, monosodium salt', 'gamma aminobutyric acid, monosodium salt', 'gamma-aminobutyric acid, calcium salt (2:1)', 'gamma-aminobutyric acid, zinc salt (2:1)', 'gammalon'], ['n-methylaspartate', 'n-methylaspartate', 'n methylaspartate', 'n-methyl-d-aspartate', 'n methyl d aspartate', 'nmda', 'n-methyl-d-aspartic acid', 'acid, n-methyl-d-aspartic', 'n methyl d aspartic acid'], ['Unknown'], ['Unknown'], ['Unknown'], ['cocaine', 'cocaine', 'cocaine hydrochloride', 'hydrochloride, cocaine', 'cocaine hcl', 'hcl, cocaine'], ['Unknown']]"
"['e4031', 'cisapride', 'terfenadine', 'terodiline', 'terfenadine', 'terodiline', 'terfenadine', 'terodiline', 'cisapride', 'e4031', 'terfenadine', 'terodiline', 'cisapride', 'e4031', 'terfenadine', 'terodiline', 'cisapride']","['C063968', 'D020117', 'D016593', 'C010637', 'D016593', 'C010637', 'D016593', 'C010637', 'D020117', 'C063968', 'D016593', 'C010637', 'D020117', 'C063968', 'D016593', 'C010637', 'D020117']","['-1', 'D020117', 'D016593', '-1', 'D016593', '-1', 'D016593', '-1', 'D020117', '-1', 'D016593', '-1', 'D020117', '-1', 'D016593', '-1', 'D020117']","['e4031', 'terodiline', 'terodiline', 'terodiline', 'e4031', 'terodiline', 'e4031', 'terodiline']","[['Unknown'], ['cisapride', 'cisapride', 'r-51619', 'r51619', 'r 51619', 'propulsid'], ['terfenadine', 'terfenadine', 'alpha-(4-(1,1-dimethylethyl)phenyl)-4-(hydroxydiphenylmethyl)-1-piperdinebutanol', 'terfenidine', 'seldane', 'triludan', 'teldane', 'rmi-9918', 'rmi9918', 'rmi 9918', 'balkis saft spezial', 'cyater', 'hisfedin', 'rapidal', 'terfedura', 'terfemundin', 'terfenadin al', 'terfenadin heumann', 'terfenadin stada', 'terfenadin von ct', 'terfenadin-ratiopharm', 'terfenadin ratiopharm', 'ternadin'], ['Unknown'], ['terfenadine', 'terfenadine', 'alpha-(4-(1,1-dimethylethyl)phenyl)-4-(hydroxydiphenylmethyl)-1-piperdinebutanol', 'terfenidine', 'seldane', 'triludan', 'teldane', 'rmi-9918', 'rmi9918', 'rmi 9918', 'balkis saft spezial', 'cyater', 'hisfedin', 'rapidal', 'terfedura', 'terfemundin', 'terfenadin al', 'terfenadin heumann', 'terfenadin stada', 'terfenadin von ct', 'terfenadin-ratiopharm', 'terfenadin ratiopharm', 'ternadin'], ['Unknown'], ['terfenadine', 'terfenadine', 'alpha-(4-(1,1-dimethylethyl)phenyl)-4-(hydroxydiphenylmethyl)-1-piperdinebutanol', 'terfenidine', 'seldane', 'triludan', 'teldane', 'rmi-9918', 'rmi9918', 'rmi 9918', 'balkis saft spezial', 'cyater', 'hisfedin', 'rapidal', 'terfedura', 'terfemundin', 'terfenadin al', 'terfenadin heumann', 'terfenadin stada', 'terfenadin von ct', 'terfenadin-ratiopharm', 'terfenadin ratiopharm', 'ternadin'], ['Unknown']]"
"['vincristin', 'vincristine', 'vincristine', 'vincristine', 'vincristine']","['D014750', 'D014750', 'D014750', 'D014750', 'D014750']","['-1', 'D014750', 'D014750', 'D014750', 'D014750']",['vincristin'],"[['vincristine', 'vincristine', 'leurocristine', 'vincristine sulfate', 'sulfate, vincristine', 'vincrisul', 'oncovin', 'oncovine', 'vincasar', 'farmistin', 'cellcristin', 'citomid', 'onkocristin', 'vincristin bristol', 'vincristin medac', 'vintec', 'vincasar pfs', 'pfs, vincasar']]"
"['acetylcholine', 'alcohol', 'alcohol', 'ethanol', 'alcohol', 'nicotine', 'carbachol', 'neostigmine', 'potassium', 'acetylcholine', 'ach', 'potassium', 'ach', 'nicotine', 'carbachol', 'neostigmine', 'ach', 'kcl', 'ach', 'ach', 'kcl', 'ach', 'ach', 'ethanol', 'alcohol']","['D000109', 'D000431', 'D000431', 'D000431', 'D000431', 'D009538', 'D002217', 'D009388', 'D011188', 'D000109', 'D000109', 'D011188', 'D000109', 'D009538', 'D002217', 'D009388', 'D000109', 'C522374', 'D000109', 'D000109', 'C522374', 'D000109', 'D000109', 'D000431', 'D000431']","['D000109', '-1', '-1', 'D000431', '-1', 'D009538', 'D002217', 'D009388', 'D011188', 'D000109', '-1', 'D011188', '-1', 'D009538', 'D002217', 'D009388', '-1', '-1', '-1', '-1', '-1', '-1', '-1', 'D000431', '-1']","['alcohol', 'alcohol', 'alcohol', 'ach', 'ach', 'ach', 'kcl', 'ach', 'ach', 'kcl', 'ach', 'ach', 'alcohol']","[['acetylcholine', 'acetylcholine', '2-(acetyloxy)-n,n,n-trimethylethanaminium', 'miochol', 'acetylcholine bromide', 'bromide, acetylcholine', 'bromoacetylcholine', 'acetylcholine chloride', 'chloroacetylcholine', 'acetylcholine iodide', 'iodide, acetylcholine', 'acetylcholine sulfate (1:1)', 'acetylcholine hydroxide', 'hydroxide, acetylcholine', 'acetylcholine fluoride', 'fluoride, acetylcholine', 'acetylcholine picrate (1:1)', 'acetylcholine picrate', 'acetylcholine l-tartrate', 'acetylcholine l tartrate', 'l-tartrate, acetylcholine', 'acetylcholine perchlorate', 'perchlorate, acetylcholine', 'acetilcolina cusi', 'cusi, acetilcolina'], ['ethanol', 'ethanol', 'alcohol, ethyl', 'ethyl alcohol', 'grain alcohol', 'alcohol, grain', 'absolute alcohol', 'alcohol, absolute'], ['ethanol', 'ethanol', 'alcohol, ethyl', 'ethyl alcohol', 'grain alcohol', 'alcohol, grain', 'absolute alcohol', 'alcohol, absolute'], ['ethanol', 'ethanol', 'alcohol, ethyl', 'ethyl alcohol', 'grain alcohol', 'alcohol, grain', 'absolute alcohol', 'alcohol, absolute'], ['ethanol', 'ethanol', 'alcohol, ethyl', 'ethyl alcohol', 'grain alcohol', 'alcohol, grain', 'absolute alcohol', 'alcohol, absolute'], ['nicotine', 'nicotine', 'nicotine bitartrate', 'nicotine tartrate'], ['carbachol', 'carbachol', 'carbacholine', 'carbocholine', 'carbamylcholine', 'carbamoylcholine', 'jestryl', 'isopto carbachol', 'carbachol, isopto', 'carbamann', 'carbastat', 'carboptic', 'doryl', 'miostat'], ['neostigmine', 'neostigmine', 'prozerin', 'synstigmin', 'proserine', 'neostigmine methylsulfate', 'methylsulfate, neostigmine', 'polstigmine', 'syntostigmine', 'prostigmine', 'prostigmin', 'neostigmine bromide', 'bromide, neostigmine'], ['potassium', 'potassium'], ['acetylcholine', 'acetylcholine', '2-(acetyloxy)-n,n,n-trimethylethanaminium', 'miochol', 'acetylcholine bromide', 'bromide, acetylcholine', 'bromoacetylcholine', 'acetylcholine chloride', 'chloroacetylcholine', 'acetylcholine iodide', 'iodide, acetylcholine', 'acetylcholine sulfate (1:1)', 'acetylcholine hydroxide', 'hydroxide, acetylcholine', 'acetylcholine fluoride', 'fluoride, acetylcholine', 'acetylcholine picrate (1:1)', 'acetylcholine picrate', 'acetylcholine l-tartrate', 'acetylcholine l tartrate', 'l-tartrate, acetylcholine', 'acetylcholine perchlorate', 'perchlorate, acetylcholine', 'acetilcolina cusi', 'cusi, acetilcolina'], ['acetylcholine', 'acetylcholine', '2-(acetyloxy)-n,n,n-trimethylethanaminium', 'miochol', 'acetylcholine bromide', 'bromide, acetylcholine', 'bromoacetylcholine', 'acetylcholine chloride', 'chloroacetylcholine', 'acetylcholine iodide', 'iodide, acetylcholine', 'acetylcholine sulfate (1:1)', 'acetylcholine hydroxide', 'hydroxide, acetylcholine', 'acetylcholine fluoride', 'fluoride, acetylcholine', 'acetylcholine picrate (1:1)', 'acetylcholine picrate', 'acetylcholine l-tartrate', 'acetylcholine l tartrate', 'l-tartrate, acetylcholine', 'acetylcholine perchlorate', 'perchlorate, acetylcholine', 'acetilcolina cusi', 'cusi, acetilcolina'], ['potassium', 'potassium'], ['acetylcholine', 'acetylcholine', '2-(acetyloxy)-n,n,n-trimethylethanaminium', 'miochol', 'acetylcholine bromide', 'bromide, acetylcholine', 'bromoacetylcholine', 'acetylcholine chloride', 'chloroacetylcholine', 'acetylcholine iodide', 'iodide, acetylcholine', 'acetylcholine sulfate (1:1)', 'acetylcholine hydroxide', 'hydroxide, acetylcholine', 'acetylcholine fluoride', 'fluoride, acetylcholine', 'acetylcholine picrate (1:1)', 'acetylcholine picrate', 'acetylcholine l-tartrate', 'acetylcholine l tartrate', 'l-tartrate, acetylcholine', 'acetylcholine perchlorate', 'perchlorate, acetylcholine', 'acetilcolina cusi', 'cusi, acetilcolina']]"
